"","cod_municipio_ibge","NO_MUNICIPIO_RESIDENCIA","UF","mean_grades_group_cities","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds","remuneracao_media","desvio_padrao"
"3498",3520202,"Igaratá","SP",512.502419354839,0,0,0,0,0,0,0,259,0,0,12,0,0,0,0,2704.09,5043.84
"3499",3520301,"Iguape","SP",506.779166666667,0,0,0,0,0,0,0,2741,0,0,57,0,0,0,0,2704.09,5043.84
"3500",3520400,"Ilhabela","SP",519.956896551724,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,2704.09,5043.84
"3501",3520426,"Ilha Comprida","SP",519.061413043478,0,0,0,0,0,0,0,1646,0,0,22,0,0,0,0,2704.09,5043.84
"3502",3520442,"Ilha Solteira","SP",537.5671812749,0,0,0,0,0,0,0,1967,0,0,59,0,0,0,0,2704.09,5043.84
"3503",3520509,"Indaiatuba","SP",541.595248467248,0,0,0,0,0,0,0,0,0,45,344,0,35028,0,0,2704.09,5043.84
"3504",3520608,"Indiana","SP",494.594230769231,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,2704.09,5043.84
"3505",3520707,"Indiaporã","SP",524.359821428571,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2704.09,5043.84
"3506",3520806,"Inúbia Paulista","SP",526.232954545455,0,69,0,0,4,0,0,123,0,0,0,0,0,0,0,2704.09,5043.84
"3507",3520905,"Ipaussu","SP",512.004794520548,0,569,0,0,0,0,0,907,0,4,27,0,0,0,0,2704.09,5043.84
"3508",3521002,"Iperó","SP",513.063875598086,0,0,0,0,0,0,0,0,85,0,37,0,0,0,0,2704.09,5043.84
"3509",3521101,"Ipeúna","SP",518.096126760563,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2704.09,5043.84
"3510",3521150,"Ipiguá","SP",518.284285714286,0,0,0,0,0,0,0,66,0,0,7,0,0,0,0,2704.09,5043.84
"3511",3521200,"Iporanga","SP",483.585344827586,0,0,0,0,0,0,0,338,0,1,14,0,0,0,0,2704.09,5043.84
"3512",3521309,"Ipuã","SP",509.017522321429,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,2704.09,5043.84
"3513",3521408,"Iracemápolis","SP",527.377754237288,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2704.09,5043.84
"3514",3521507,"Irapuã","SP",512.521739130435,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2704.09,5043.84
"3515",3521606,"Irapuru","SP",520.599583333333,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3516",3521705,"Itaberá","SP",507.811650485437,0,0,1,0,123,0,0,0,0,0,44,0,0,0,0,2704.09,5043.84
"3517",3521804,"Itaí","SP",523.228372093023,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,2704.09,5043.84
"3518",3521903,"Itajobi","SP",531.610166666667,0,0,0,0,0,0,0,584,0,0,15,0,0,0,0,2704.09,5043.84
"3519",3522000,"Itaju","SP",509.509659090909,0,181,0,0,0,0,0,98,0,0,7,0,0,0,0,2704.09,5043.84
"3520",3522109,"Itanhaém","SP",510.152239130435,0,0,0,0,0,0,0,6160,0,0,150,0,0,0,0,2704.09,5043.84
"3521",3522158,"Itaoca","SP",508.30303030303,0,0,0,0,0,0,0,144,0,0,8,0,0,0,0,2704.09,5043.84
"3522",3522208,"Itapecerica da Serra","SP",511.150999158603,0,0,0,0,0,0,0,0,0,5,152,0,6484,0,0,2704.09,5043.84
"3523",3522307,"Itapetininga","SP",530.424770079706,0,0,0,1,0,0,0,0,0,0,232,0,14380,0,0,2704.09,5043.84
"3524",3522406,"Itapeva","SP",519.966041347626,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,2704.09,5043.84
"3525",3522505,"Itapevi","SP",500.991180438449,0,0,0,0,0,48,0,0,0,993,196,0,6011,0,0,2704.09,5043.84
"3526",3522604,"Itapira","SP",540.597763157895,0,0,2,0,0,0,0,5487,0,0,109,0,2,0,0,2704.09,5043.84
"3527",3522653,"Itapirapuã Paulista","SP",507.335606060606,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,2704.09,5043.84
"3528",3522703,"Itápolis","SP",532.492193877551,0,0,0,0,0,0,0,0,0,1,62,0,0,0,0,2704.09,5043.84
"3529",3522802,"Itaporanga","SP",511.730671296296,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3530",3522901,"Itapuí","SP",536.425213675214,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0,2704.09,5043.84
"3531",3523008,"Itapura","SP",507.134433962264,0,0,0,0,6,0,0,118,0,0,15,0,0,0,0,2704.09,5043.84
"3532",3523107,"Itaquaquecetuba","SP",498.405750118315,0,0,0,0,0,0,0,0,0,0,329,0,2,3,0,2704.09,5043.84
"3533",3523206,"Itararé","SP",518.183564814815,0,0,0,0,0,0,0,2463,0,0,74,0,0,0,0,2704.09,5043.84
"3534",3523305,"Itariri","SP",505.343371212121,0,0,0,0,0,0,0,0,0,3,30,0,0,0,0,2704.09,5043.84
"3535",3523404,"Itatiba","SP",541.276141868512,0,0,0,0,0,0,0,0,0,10,170,0,0,0,0,2704.09,5043.84
"3536",3523503,"Itatinga","SP",534.168148148148,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,2704.09,5043.84
"3537",3523602,"Itirapina","SP",529.156136363636,0,0,0,0,0,0,0,611,0,5,32,0,0,0,0,2704.09,5043.84
"3538",3523701,"Itirapuã","SP",498.60652173913,0,0,0,0,0,0,0,0,0,226,11,0,0,0,0,2704.09,5043.84
"3539",3523800,"Itobi","SP",516.351865671642,0,0,0,0,0,0,0,267,0,0,18,0,0,0,0,2704.09,5043.84
"3540",3523909,"Itu","SP",534.212937384899,0,0,0,0,0,0,0,0,0,0,290,0,24790,0,0,2704.09,5043.84
"3541",3524006,"Itupeva","SP",532.085220125786,0,0,0,0,0,0,0,0,0,12,117,0,0,0,0,2704.09,5043.84
"3542",3524105,"Ituverava","SP",521.791,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0,2704.09,5043.84
"3543",3524204,"Jaborandi","SP",508.722014925373,0,1,0,0,0,0,0,269,0,0,0,0,0,0,0,2704.09,5043.84
"3544",3524303,"Jaboticabal","SP",536.749109470026,0,0,0,0,0,0,0,0,0,4,130,0,0,0,0,2704.09,5043.84
"3545",3524402,"Jacareí","SP",532.699466705102,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,2704.09,5043.84
"3546",3524501,"Jaci","SP",522.3375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3547",3524600,"Jacupiranga","SP",518.089464285714,1389,0,0,0,0,0,0,798,0,0,30,0,0,0,0,2704.09,5043.84
"3548",3524709,"Jaguariúna","SP",535.720705882353,0,0,0,0,0,0,0,0,0,22,92,0,0,0,0,2704.09,5043.84
"3549",3524808,"Jales","SP",538.538647746244,0,0,0,0,37,0,0,2568,0,0,110,0,0,0,0,2704.09,5043.84
"3550",3524907,"Jambeiro","SP",507.266901408451,0,0,0,0,0,0,0,511,0,0,27,0,0,0,0,2704.09,5043.84
"3551",3525003,"Jandira","SP",513.315760869565,0,0,0,2,0,67,0,0,0,0,172,0,6311,0,0,2704.09,5043.84
"3552",3525102,"Jardinópolis","SP",523.937394957983,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,2704.09,5043.84
"3553",3525201,"Jarinu","SP",524.22833935018,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,2704.09,5043.84
"3554",3525300,"Jaú","SP",545.495928196147,0,0,0,0,0,0,0,0,0,5,187,0,19971,0,0,2704.09,5043.84
"3555",3525409,"Jeriquara","SP",491.2546875,0,0,0,0,11,0,0,92,0,0,13,0,0,0,0,2704.09,5043.84
"3556",3525508,"Joanópolis","SP",516.548588709677,0,0,0,0,0,0,0,831,0,0,21,0,0,0,0,2704.09,5043.84
"3557",3525607,"João Ramalho","SP",508.221428571429,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,2704.09,5043.84
"3558",3525706,"José Bonifácio","SP",528.316972920696,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,2704.09,5043.84
"3559",3525805,"Júlio Mesquita","SP",492.291509433962,0,364,0,0,0,0,0,195,0,0,13,0,0,0,0,2704.09,5043.84
"3560",3525854,"Jumirim","SP",522.040833333333,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,2704.09,5043.84
"3561",3525904,"Jundiaí","SP",553.123187672493,0,0,0,752,0,0,0,0,0,0,761,0,71945,0,0,2704.09,5043.84
"3562",3526001,"Junqueirópolis","SP",538.197085201794,0,52,0,0,0,0,0,0,0,0,38,0,0,0,0,2704.09,5043.84
"3563",3526100,"Juquiá","SP",506.939047619048,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0,2704.09,5043.84
"3564",3526209,"Juquitiba","SP",497.879556074766,0,35,0,0,0,0,0,3002,0,0,41,0,0,0,0,2704.09,5043.84
"3565",3526308,"Lagoinha","SP",509.086940298507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3566",3526407,"Laranjal Paulista","SP",518.211101398601,0,0,0,0,0,0,0,1157,0,0,43,0,0,0,0,2704.09,5043.84
"3567",3526506,"Lavínia","SP",526.981147540984,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3568",3526605,"Lavrinhas","SP",551.689,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,2704.09,5043.84
"3569",3526704,"Leme","SP",540.849843945069,0,0,0,0,0,0,0,6929,0,3,108,0,0,0,0,2704.09,5043.84
"3570",3526803,"Lençóis Paulista","SP",534.686599722992,0,0,0,0,0,0,0,0,0,4,101,0,0,0,0,2704.09,5043.84
"3571",3526902,"Limeira","SP",542.882188205418,0,0,0,0,0,0,0,0,0,0,350,0,21340,0,0,2704.09,5043.84
"3572",3527009,"Lindóia","SP",540.041118421053,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,2704.09,5043.84
"3573",3527108,"Lins","SP",525.806422924901,0,0,56,0,0,0,0,3518,0,15,145,0,478,1,2,2704.09,5043.84
"3574",3527207,"Lorena","SP",535.652938247012,0,0,0,0,0,0,0,0,0,14,129,0,10143,0,0,2704.09,5043.84
"3575",3527256,"Lourdes","SP",517.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.09,5043.84
"3576",3527306,"Louveira","SP",533.86569416499,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,2704.09,5043.84
"3577",3527405,"Lucélia","SP",525.240217391304,0,139,0,0,0,0,0,1311,0,0,32,0,0,0,0,2704.09,5043.84
"3578",3527504,"Lucianópolis","SP",493.691666666667,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,2704.09,5043.84
"3579",3527603,"Luís Antônio","SP",514.519182389937,0,0,0,0,0,0,0,473,0,41,30,0,0,0,0,2704.09,5043.84
"3580",3527702,"Luiziânia","SP",514.238235294118,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,2704.09,5043.84
"3581",3527801,"Lupércio","SP",499.3,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,2704.09,5043.84
"3582",3527900,"Lutécia","SP",514.773076923077,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2704.09,5043.84
