"","cod_municipio_ibge","municipio","fibra_optica","wifi","ethernet","lte","vsatelite","wimax","plc_eletrico","xdsl","cable_modem","fwa_5g_fixed","atm_backbone","dth_satelite","hfc_tv_cabo","fr_frame_relay","mmds"
"5182",3305752,"Tanguá",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5183",3305802,"Teresópolis",0,0,0,0,0,0,0,5945,2444,0,19,0,5106,0,0
"5184",3305901,"Trajano de Moraes",31,0,1,0,0,0,0,102,0,0,1,0,0,0,0
"5185",3306156,"Varre-Sai",0,0,560,0,0,0,0,224,0,0,0,0,0,0,0
"5186",3306206,"Vassouras",0,14,7,0,0,0,0,3215,0,6,0,0,0,10,0
"5187",3306305,"Volta Redonda",0,0,0,318,0,0,0,0,0,0,0,0,8540,0,0
"5188",3500105,"Adamantina",0,0,0,0,0,0,0,2182,0,0,92,0,0,0,0
"5189",3500204,"Adolfo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5190",3500550,"Águas de Santa Bárbara",0,145,0,0,0,0,0,519,0,1,12,0,0,0,0
"5191",3500758,"Alambari",0,0,0,0,0,0,0,284,0,0,15,0,0,0,0
"5192",3500907,"Altair",0,0,0,0,8,0,0,117,0,0,10,0,0,0,0
"5193",3501152,"Alumínio",627,0,1,0,0,0,0,0,0,1,26,0,0,0,0
"5194",3501202,"Álvares Florence",0,0,0,0,0,0,0,97,0,0,11,0,0,0,0
"5195",3501806,"Américo de Campos",0,0,1,0,0,0,0,189,0,0,15,0,0,0,0
"5196",3502002,"Analândia",0,0,0,0,0,0,0,295,0,0,10,0,0,0,0
"5197",3502408,"Anhumas",528,60,0,0,0,0,0,49,0,0,10,0,0,0,0
"5198",3502606,"Aparecida d'Oeste",0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
"5199",3502705,"Apiaí",0,0,0,0,0,0,0,0,0,0,59,0,0,0,0
"5200",3503000,"Aramina",0,79,0,0,0,0,0,612,0,0,7,0,0,0,0
"5201",3503109,"Arandu",103,0,0,0,0,0,0,97,0,0,14,0,0,0,0
"5202",3503158,"Arapeí",0,0,0,0,0,0,0,143,0,0,0,0,0,0,0
"5203",3503356,"Arco-Íris",0,0,0,0,6,0,0,58,0,0,0,0,0,0,0
"5204",3503505,"Areias",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"5205",3503703,"Ariranha",0,0,0,0,8,0,0,0,0,1,13,0,0,0,0
"5206",3503802,"Artur Nogueira",0,0,0,0,0,0,0,2035,0,80,42,0,1580,0,0
"5207",3503950,"Aspásia",0,0,0,0,2,0,0,40,0,0,7,0,0,0,0
"5208",3504206,"Auriflama",0,0,0,0,0,0,0,0,0,0,27,0,0,0,0
"5209",3504305,"Avaí",0,0,0,0,0,0,0,141,0,0,13,0,0,0,0
"5210",3504602,"Bady Bassitt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5211",3504909,"Bananal",1000,0,0,0,0,0,0,545,0,0,24,0,0,0,0
"5212",3505005,"Barão de Antonina",1,0,0,0,0,0,0,136,0,0,0,0,0,0,0
"5213",3505104,"Barbosa",0,0,0,0,0,0,0,182,0,0,13,0,0,0,0
"5214",3505351,"Barra do Chapéu",0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
"5215",3505401,"Barra do Turvo",1,0,0,0,0,0,0,434,0,0,19,0,0,0,0
"5216",3505500,"Barretos",0,0,0,0,0,167,0,0,0,11,186,0,0,0,0
"5217",3505609,"Barrinha",0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
"5218",3505807,"Bastos",0,0,0,0,0,0,0,1715,0,0,37,0,0,0,0
"5219",3506300,"Bernardino de Campos",0,0,1,0,0,0,0,0,0,0,15,0,0,0,0
"5220",3506607,"Biritiba-Mirim",0,0,0,0,0,0,0,2254,0,3,49,0,0,0,0
"5221",3506904,"Bofete",0,0,0,0,0,0,0,148,0,0,17,0,0,0,0
"5222",3507100,"Bom Jesus dos Perdões",0,0,0,0,0,0,0,1010,0,0,0,0,0,0,0
"5223",3507159,"Bom Sucesso de Itararé",0,0,0,0,0,0,0,216,0,0,15,0,0,0,0
"5224",3507209,"Borá",0,0,0,0,2,0,0,66,0,1,10,0,0,0,0
"5225",3507704,"Braúna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5226",3507803,"Brodowski",0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
"5227",3507902,"Brotas",0,0,0,0,0,0,0,1264,0,2,49,0,0,0,0
"5228",3508207,"Buritizal",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"5229",3508306,"Cabrália Paulista",0,0,0,0,0,0,0,138,0,0,0,0,0,0,0
"5230",3508702,"Caconde",0,0,0,0,0,0,0,0,0,0,41,0,0,0,0
"5231",3508900,"Caiabu",0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
"5232",3509254,"Cajati",0,0,0,0,0,0,0,1194,0,0,42,0,0,0,0
"5233",3509809,"Campos Novos Paulista",0,0,0,0,0,0,0,87,0,0,13,0,0,0,0
"5234",3509908,"Cananéia",0,0,0,0,0,0,0,1150,0,0,33,0,0,0,0
"5235",3510104,"Cândido Rodrigues",30,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"5236",3510153,"Canitar",0,0,0,0,2,0,0,24,0,2,0,0,0,0,0
