"municipios","idhm"
"Itapirapuã (GO)",0.677
"Serrania (MG)",0.677
"Iguatu (CE)",0.677
"Serra da Saudade (MG)",0.677
"Eunápolis (BA)",0.677
"Itariri (SP)",0.677
"Caruaru (PE)",0.677
"Alvinópolis (MG)",0.676
"Reserva do Cabaçal (MT)",0.676
"Lagoa Dourada (MG)",0.676
"Perolândia (GO)",0.676
"Porto Seguro (BA)",0.676
"Arapuã (PR)",0.676
"Marituba (PA)",0.676
"Paraíso do Sul (RS)",0.676
"Luciara (MT)",0.676
"São Sebastião do Rio Verde (MG)",0.676
"São Jorge do Patrocínio (PR)",0.676
"Prudentópolis (PR)",0.676
"Santa Maria do Herval (RS)",0.676
"Boa Vista das Missões (RS)",0.676
"Estrela do Indaiá (MG)",0.676
"Alto Piquiri (PR)",0.676
"Ewbank da Câmara (MG)",0.676
"Parelhas (RN)",0.676
"Dias D'Ávila (BA)",0.676
"Novo Tiradentes (RS)",0.676
"Conceição de Ipanema (MG)",0.676
"Sapucaia (RJ)",0.675
"São Francisco de Assis (RS)",0.675
"Pedralva (MG)",0.675
"Ibituruna (MG)",0.675
"Aruanã (GO)",0.675
"Apiacás (MT)",0.675
"Moreira Sales (PR)",0.675
"Teixeiras (MG)",0.675
"Guia Lopes da Laguna (MS)",0.675
"Oliveira de Fátima (TO)",0.675
"Eugenópolis (MG)",0.675
"Guapiara (SP)",0.675
"Aripuanã (MT)",0.675
"Silvanópolis (TO)",0.675
"Simões Filho (BA)",0.675
"Lajeado (TO)",0.675
"Bela Vista do Toldo (SC)",0.675
"Naque (MG)",0.675
"Vila Valério (ES)",0.675
"Água Comprida (MG)",0.675
"Virginópolis (MG)",0.675
"Monte Castelo (SC)",0.675
"Mantena (MG)",0.675
"Araguaçu (TO)",0.675
"Godoy Moreira (PR)",0.675
"Alfredo Vasconcelos (MG)",0.675
"Capetinga (MG)",0.675
"Pacatuba (CE)",0.675
"São Francisco do Conde (BA)",0.674
"Olímpio Noronha (MG)",0.674
"Anitápolis (SC)",0.674
"Bela Vista de Minas (MG)",0.674
"Pequi (MG)",0.674
"Senador Cortes (MG)",0.674
"Iaras (SP)",0.674
"Braga (RS)",0.674
"Cabo Verde (MG)",0.674
"Santa Inês (MA)",0.674
"Russas (CE)",0.674
"Candelária (RS)",0.674
"Paulo Afonso (BA)",0.674
"Novo Mundo (MT)",0.674
"Gouvelândia (GO)",0.674
"Cerro Grande (RS)",0.674
"São Pedro da União (MG)",0.674
"Brasilândia de Minas (MG)",0.674
"Indianópolis (MG)",0.674
"Guiricema (MG)",0.674
"Ibitiúra de Minas (MG)",0.674
"Itamogi (MG)",0.674
"Monte Alegre de Minas (MG)",0.674
"Peixe (TO)",0.674
"Araguapaz (GO)",0.674
"Inhacorá (RS)",0.673
"Cristalândia (TO)",0.673
"Rio Verde de Mato Grosso (MS)",0.673
"Palmeirópolis (TO)",0.673
"Canaã dos Carajás (PA)",0.673
"Vitor Meireles (SC)",0.673
"Pinheiros (ES)",0.673
"Porto Alegre do Norte (MT)",0.673
"Dom Bosco (MG)",0.673
"Jauru (MT)",0.673
"Amambai (MS)",0.673
"Ponte Alta (SC)",0.673
"Guarabira (PB)",0.673
"Rio Acima (MG)",0.673
"Consolação (MG)",0.673
"Novo Progresso (PA)",0.673
"Guanambi (BA)",0.673
"Castanhal (PA)",0.673
"Bom Jardim de Minas (MG)",0.673
"Sete Barras (SP)",0.673
"Natividade (TO)",0.673
"Albertina (MG)",0.673
"Apiacá (ES)",0.673
"Buritis (MG)",0.672
"Paraúna (GO)",0.672
"São Roque de Minas (MG)",0.672
"Liberdade (MG)",0.672
"Rebouças (PR)",0.672
"Britânia (GO)",0.672
"Santo Antônio do Amparo (MG)",0.672
"Alecrim (RS)",0.672
"Espigão D'Oeste (RO)",0.672
"Laguna Carapã (MS)",0.672
"Redenção (PA)",0.672
"Bandeirante (SC)",0.672
"Capão do Cipó (RS)",0.672
"São Bento Abade (MG)",0.672
"União de Minas (MG)",0.672
"Paranaíta (MT)",0.672
"Entre Rios de Minas (MG)",0.672
"Alto do Rodrigues (RN)",0.672
"Açailândia (MA)",0.672
"Maravilhas (MG)",0.672
"Turvo (PR)",0.672
"Santo Antônio do Sudoeste (PR)",0.671
"Pedro Gomes (MS)",0.671
"São José da Boa Vista (PR)",0.671
"Teixeira Soares (PR)",0.671
"Nova Resende (MG)",0.671
"Ananás (TO)",0.671
"Paty do Alferes (RJ)",0.671
"Santa Maria de Jetibá (ES)",0.671
"Alpestre (RS)",0.671
"Esmeraldas (MG)",0.671
"Xambioá (TO)",0.671
"Palmeira (SC)",0.671
"Colméia (TO)",0.671
"Corguinho (MS)",0.671
"Baldim (MG)",0.671
"Água Fria de Goiás (GO)",0.671
"São João da Barra (RJ)",0.671
"Garruchos (RS)",0.671
"Natalândia (MG)",0.671
"Sentinela do Sul (RS)",0.671
"Santo Antônio do Aventureiro (MG)",0.671
"Tupirama (TO)",0.67
"Divisa Nova (MG)",0.67
"Santa Luzia D'Oeste (RO)",0.67
"Fortaleza de Minas (MG)",0.67
"Barra do Ribeiro (RS)",0.67
"Lagoa Bonita do Sul (RS)",0.67
"Formoso do Araguaia (TO)",0.67
"Conceição do Castelo (ES)",0.67
"Água Clara (MS)",0.67
"Itaparica (BA)",0.67
"Claro dos Poções (MG)",0.67
"Bom Jardim de Goiás (GO)",0.67
"Uirapuru (GO)",0.67
"Taiobeiras (MG)",0.67
"São Gonçalo do Abaeté (MG)",0.67
"Ribeirão Cascalheira (MT)",0.67
"Resplendor (MG)",0.67
"Ariranha do Ivaí (PR)",0.67
"Mimoso do Sul (ES)",0.67
"Dois Irmãos das Missões (RS)",0.67
"Bonito (MS)",0.67
"Triunfo (PE)",0.67
"Boa Vista da Aparecida (PR)",0.67
"Leme do Prado (MG)",0.67
"General Carneiro (MT)",0.67
"Anaurilândia (MS)",0.67
"Ipiaú (BA)",0.67
"Augustinópolis (TO)",0.67
"Francisco Alves (PR)",0.669
"Amaporã (PR)",0.669
"Itati (RS)",0.669
"Paineiras (MG)",0.669
"Pugmil (TO)",0.669
"Domingos Martins (ES)",0.669
"Guamiranga (PR)",0.669
"Santo Antônio do Rio Abaixo (MG)",0.669
"Nova Ubiratã (MT)",0.669
"Presidente Kennedy (TO)",0.669
"Planaltina (GO)",0.669
"Volta Grande (MG)",0.669
"Coronel Pacheco (MG)",0.669
"Santa Terezinha (SC)",0.669
"Ponto Belo (ES)",0.669
"Arroio do Padre (RS)",0.669
"Martinho Campos (MG)",0.669
"Delfim Moreira (MG)",0.669
"Buenópolis (MG)",0.669
"Coimbra (MG)",0.669
"São Luíz do Norte (GO)",0.669
"Pirapó (RS)",0.669
"Balbinos (SP)",0.669
"Juramento (MG)",0.669
"Salgueiro (PE)",0.669
"Doverlândia (GO)",0.668
"Cristina (MG)",0.668
"Tejupá (SP)",0.668
"Rodeiro (MG)",0.668
"Bom Jesus (PI)",0.668
"Congonhinhas (PR)",0.668
"Conceição das Pedras (MG)",0.668
"Mata de São João (BA)",0.668
"Sousa (PB)",0.668
"Centenário do Sul (PR)",0.668
"Alterosa (MG)",0.668
"Jacuí (MG)",0.668
"Alfredo Wagner (SC)",0.668
"Vieiras (MG)",0.668
"Confresa (MT)",0.668
"Cabeceiras (GO)",0.668
"Laje do Muriaé (RJ)",0.668
"São Félix do Araguaia (MT)",0.668
"Aiuruoca (MG)",0.668
"Santa Maria Madalena (RJ)",0.668
"Luiziana (PR)",0.668
"Marabá (PA)",0.668
"Afonso Cláudio (ES)",0.667
"Montanha (ES)",0.667
"São Miguel das Missões (RS)",0.667
"Canabrava do Norte (MT)",0.667
"Sucupira (TO)",0.667
"São Gonçalo do Rio Abaixo (MG)",0.667
"Adrianópolis (PR)",0.667
"Santana do Garambéu (MG)",0.667
"Pancas (ES)",0.667
"Buri (SP)",0.667
"Altamira do Paraná (PR)",0.667
"Veríssimo (MG)",0.667
"Paranatinga (MT)",0.667
"Tapiraí (MG)",0.667
"Itapetinga (BA)",0.667
"Arcoverde (PE)",0.667
"Imaruí (SC)",0.667
"São Thomé das Letras (MG)",0.667
"Bituruna (PR)",0.667
"Trajano de Moraes (RJ)",0.667
"Nepomuceno (MG)",0.667
"Mucurici (ES)",0.666
"Papagaios (MG)",0.666
"Senhor do Bonfim (BA)",0.666
"Iúna (ES)",0.666
"Lindoeste (PR)",0.666
"Icaraíma (PR)",0.666
"Pojuca (BA)",0.666
"Bom Jesus (RS)",0.666
"Faxinalzinho (RS)",0.666
"Salto do Céu (MT)",0.666
"São José do Goiabal (MG)",0.666
"Amélia Rodrigues (BA)",0.666
"Cruzmaltina (PR)",0.666
"Várzea da Palma (MG)",0.666
"Tucuruí (PA)",0.666
"Bodoquena (MS)",0.666
"Porto Murtinho (MS)",0.666
"Castanheira (MT)",0.665
"Pimenteiras do Oeste (RO)",0.665
"Igarassu (PE)",0.665
"Santa Tereza de Goiás (GO)",0.665
"Iretama (PR)",0.665
"Santo Antônio do Descoberto (GO)",0.665
"Mucajaí (RR)",0.665
"Coronel Bicaco (RS)",0.665
"Laranjal do Jari (AP)",0.665
"São Cristovão do Sul (SC)",0.665
"Quevedos (RS)",0.665
"Jequié (BA)",0.665
"Mimoso de Goiás (GO)",0.665
"Carlinda (MT)",0.665
"União do Sul (MT)",0.665
"Conceição do Rio Verde (MG)",0.665
"Abreulândia (TO)",0.665
"São Gonçalo do Amarante (CE)",0.665
"Macau (RN)",0.665
"Altamira (PA)",0.665
"Benevides (PA)",0.665
"Mucuri (BA)",0.665
"Mirabela (MG)",0.665
"Central de Minas (MG)",0.665
"Ipaba (MG)",0.665
"Santana do Riacho (MG)",0.665
"São Brás do Suaçuí (MG)",0.664
"Ribas do Rio Pardo (MS)",0.664
"São João do Caiuá (PR)",0.664
"Alto Rio Novo (ES)",0.664
"Inimutaba (MG)",0.664
"Rio Doce (MG)",0.664
"Novo Horizonte do Norte (MT)",0.664
"São Miguel do Araguaia (GO)",0.664
"Mercês (MG)",0.664
"Garanhuns (PE)",0.664
"São Pedro das Missões (RS)",0.664
"Itapuca (RS)",0.664
"Serra Nova Dourada (MT)",0.664
"Riversul (SP)",0.664
"Chácara (MG)",0.664
"Nossa Senhora do Socorro (SE)",0.664
"Uruana de Minas (MG)",0.664
"Painel (SC)",0.664
"Mostardas (RS)",0.664
"Presidente Médici (RO)",0.664
"Jaraguari (MS)",0.664
"Tibagi (PR)",0.664
"Cruzeiro do Sul (AC)",0.664
"Caturaí (GO)",0.664
"Grossos (RN)",0.664
"Cruz Machado (PR)",0.664
"Araçuaí (MG)",0.663
"Aliança do Tocantins (TO)",0.663
"Miradouro (MG)",0.663
"Jardim do Seridó (RN)",0.663
"Novo Machado (RS)",0.663
"Espera Feliz (MG)",0.663
"Floriano Peixoto (RS)",0.663
"Vargem Alta (ES)",0.663
"Santa Margarida do Sul (RS)",0.663
"Conceição do Jacuípe (BA)",0.663
"Sengés (PR)",0.663
"Limoeiro (PE)",0.663
"Nova Maringá (MT)",0.663
"Anastácio (MS)",0.663
"Aguanil (MG)",0.663
"São José dos Ausentes (RS)",0.663
"São Francisco do Glória (MG)",0.663
"Onça de Pitangui (MG)",0.663
"Ecoporanga (ES)",0.662
"Miranorte (TO)",0.662
"Jaú do Tocantins (TO)",0.662
"Jacuizinho (RS)",0.662
"Barcarena (PA)",0.662
"São Joaquim de Bicas (MG)",0.662
"Três Forquilhas (RS)",0.662
"Vila Nova do Sul (RS)",0.662
"São Cristóvão (SE)",0.662
"Barra do Quaraí (RS)",0.662
"Rosário da Limeira (MG)",0.662
"Rosário do Ivaí (PR)",0.662
"Mato Verde (MG)",0.662
"Cacique Doble (RS)",0.662
"Nova União (MG)",0.662
"Iguatemi (MS)",0.662
"Juruena (MT)",0.662
"Conselheiro Pena (MG)",0.662
"Nazaré da Mata (PE)",0.662
"Santa Tereza do Tocantins (TO)",0.662
"Macieira (SC)",0.662
"Sooretama (ES)",0.662
"Cariri do Tocantins (TO)",0.662
"São Tiago (MG)",0.662
"São Gonçalo do Amarante (RN)",0.661
"Nova Rosalândia (TO)",0.661
"Capela de Santana (RS)",0.661
"Propriá (SE)",0.661
"Itapirapuã Paulista (SP)",0.661
"Divino das Laranjeiras (MG)",0.661
"Cerro Branco (RS)",0.661
"Serra Talhada (PE)",0.661
"São José do Povo (MT)",0.661
"Aracitaba (MG)",0.661
"Açu (RN)",0.661
"Pinheiro Machado (RS)",0.661
"Fontoura Xavier (RS)",0.661
"Pau D'Arco (TO)",0.661
"Senador Amaral (MG)",0.661
"Teresina de Goiás (GO)",0.661
"Campo Limpo de Goiás (GO)",0.661
"Indiavaí (MT)",0.661
"São Raimundo Nonato (PI)",0.661
"Alto Caparaó (MG)",0.661
"Riozinho (RS)",0.661
"Bom Jesus do Araguaia (MT)",0.661
"Lajinha (MG)",0.661
"Jeceaba (MG)",0.661
"Esperança do Sul (RS)",0.661
"Brunópolis (SC)",0.661
"Toledo (MG)",0.661
"Pantano Grande (RS)",0.661
"Lavandeira (TO)",0.66
"Bom Jesus do Tocantins (TO)",0.66
"Belmiro Braga (MG)",0.66
"Bom Sucesso de Itararé (SP)",0.66
"Avelinópolis (GO)",0.66
"Bom Jardim (RJ)",0.66
"Figueirão (MS)",0.66
"Alvorada do Norte (GO)",0.66
"Satuba (AL)",0.66
"Palmas (PR)",0.66
"Barra do Chapéu (SP)",0.66
"São José do Vale do Rio Preto (RJ)",0.66
"Ipuaçu (SC)",0.66
"Cocalinho (MT)",0.66
"Alto Jequitibá (MG)",0.66
"Seritinga (MG)",0.66
"Extremoz (RN)",0.66
"Muritiba (BA)",0.66
"Imbituva (PR)",0.66
"Cordislândia (MG)",0.66
"Cristal do Sul (RS)",0.66
"São Pedro da Cipa (MT)",0.66
"Cerro Grande do Sul (RS)",0.66
"São Francisco de Paula (MG)",0.66
"São Sebastião da Vargem Alegre (MG)",0.66
"Agudos do Sul (PR)",0.66
"Sandolândia (TO)",0.659
"Carnaúba dos Dantas (RN)",0.659
"Monte Azul (MG)",0.659
"Japeri (RJ)",0.659
"Posse (GO)",0.659
"Varre-Sai (RJ)",0.659
"Maranguape (CE)",0.659
"Couto de Magalhães de Minas (MG)",0.659
"Fortaleza do Tabocão (TO)",0.659
"Segredo (RS)",0.659
"São Pedro dos Ferros (MG)",0.659
"Estreito (MA)",0.659
"Pacajus (CE)",0.659
"Quixadá (CE)",0.659
"Santa Isabel do Pará (PA)",0.659
"Leopoldo de Bulhões (GO)",0.659
"Duas Barras (RJ)",0.659
"Tucumã (PA)",0.659
"Jaguarari (BA)",0.659
"Passos Maia (SC)",0.659
"Gameleira de Goiás (GO)",0.659
"Timbó Grande (SC)",0.659
"Nova Cantu (PR)",0.658
"Minduri (MG)",0.658
"Bueno Brandão (MG)",0.658
"Jesuânia (MG)",0.658
"Colinas do Sul (GO)",0.658
"Inhapim (MG)",0.658
"Oiapoque (AP)",0.658
"Caseara (TO)",0.658
"Castanheiras (RO)",0.658
"Novo Planalto (GO)",0.658
"Grandes Rios (PR)",0.658
"Piratini (RS)",0.658
"Januária (MG)",0.658
"Terenos (MS)",0.658
"Horizonte (CE)",0.658
"Parintins (AM)",0.658
"São José do Divino (MG)",0.658
"Jaboticaba (RS)",0.658
"Itacurubi (RS)",0.657
"Presidente Kennedy (ES)",0.657
"Redenção da Serra (SP)",0.657
"Arroio Grande (RS)",0.657
"Cocalzinho de Goiás (GO)",0.657
"Matos Costa (SC)",0.657
"Mantenópolis (ES)",0.657
"Ibertioga (MG)",0.657
"Heliodora (MG)",0.657
"São José do Xingu (MT)",0.657
"São José do Mantimento (MG)",0.657
"Santo Hipólito (MG)",0.657
"Entre Rios (SC)",0.657
"Divinésia (MG)",0.657
"Marliéria (MG)",0.657
"São Sebastião do Passé (BA)",0.657
"Aguiarnópolis (TO)",0.657
"Tianguá (CE)",0.657
"Encruzilhada do Sul (RS)",0.657
"Tunas (RS)",0.657
"Afogados da Ingazeira (PE)",0.657
"Guajará-Mirim (RO)",0.657
"Serro (MG)",0.656
"Mesquita (MG)",0.656
"Brejetuba (ES)",0.656
"Itaiçaba (CE)",0.656
"Augusto de Lima (MG)",0.656
"Santo Antônio do Leverger (MT)",0.656
"Cordisburgo (MG)",0.656
"Brumado (BA)",0.656
"Tavares (RS)",0.656
"Ferreira Gomes (AP)",0.656
"Itaúna do Sul (PR)",0.656
"Vale de São Domingos (MT)",0.656
"Pescador (MG)",0.656
"Antônio Olinto (PR)",0.656
"Planalto da Serra (MT)",0.656
"Laranja da Terra (ES)",0.656
"Campo Maior (PI)",0.656
"Mata (RS)",0.656
"Brasília de Minas (MG)",0.656
"Rio dos Índios (RS)",0.656
"Curiúva (PR)",0.656
"Arinos (MG)",0.656
"Belo Vale (MG)",0.655
"Chalé (MG)",0.655
"Nova Iguaçu de Goiás (GO)",0.655
"Sapopema (PR)",0.655
"Santo Antônio do Leste (MT)",0.655
"Raul Soares (MG)",0.655
"São João do Sabugi (RN)",0.655
"Manoel Viana (RS)",0.655
"Aracati (CE)",0.655
"Engenheiro Navarro (MG)",0.655
"Mandirituba (PR)",0.655
"São João da Baliza (RR)",0.655
"Vitória das Missões (RS)",0.655
"Lamim (MG)",0.655
"Tesouro (MT)",0.655
"Carmo da Cachoeira (MG)",0.655
"Natividade da Serra (SP)",0.655
"Boa Ventura de São Roque (PR)",0.655
"Baliza (GO)",0.655
"Pedra Dourada (MG)",0.655
"Funilândia (MG)",0.655
"Capanema (PA)",0.655
"Damianópolis (GO)",0.654
"Portelândia (GO)",0.654
"Galiléia (MG)",0.654
"Nova Viçosa (BA)",0.654
"Francisco Sá (MG)",0.654
"Saltinho (SC)",0.654
"Itaporã (MS)",0.654
"Sem-Peixe (MG)",0.654
"Tanguá (RJ)",0.654
"Rafael Godeiro (RN)",0.654
"Campos Verdes (GO)",0.654
"Pedro Canário (ES)",0.654
"Pinhão (PR)",0.654
"São João do Jaguaribe (CE)",0.654
"Capão Alto (SC)",0.654
"Silva Jardim (RJ)",0.654
"Abre Campo (MG)",0.654
"Itapemirim (ES)",0.654
"Iapu (MG)",0.654
"Itapiranga (AM)",0.654
"Talismã (TO)",0.654
"Dezesseis de Novembro (RS)",0.654
"Cruzeta (RN)",0.654
"Dores do Rio Preto (ES)",0.654
"Santa Cruz Cabrália (BA)",0.654
"Ritápolis (MG)",0.653
"São Lourenço da Mata (PE)",0.653
"Presidente Dutra (MA)",0.653
"Campestre de Goiás (GO)",0.653
"Epitaciolândia (AC)",0.653
"Divinópolis de Goiás (GO)",0.653
"Ilha de Itamaracá (PE)",0.653
"Trombas (GO)",0.653
"Itabirinha (MG)",0.653
"Rio Rufino (SC)",0.653
"Capelinha (MG)",0.653
"Santa Amélia (PR)",0.653
"Novo Santo Antônio (MT)",0.653
"Bom Repouso (MG)",0.653
"São João da Mata (MG)",0.653
"Guarinos (GO)",0.652
"Ibarama (RS)",0.652
"Guarará (MG)",0.652
"Ipiranga (PR)",0.652
"General Carneiro (PR)",0.652
"Caraá (RS)",0.652
"São José de Ubá (RJ)",0.652
"Água Doce do Norte (ES)",0.652
"Campestre do Maranhão (MA)",0.652
"São Martinho da Serra (RS)",0.652
"Casa Grande (MG)",0.652
"Moreno (PE)",0.652
"Chupinguaia (RO)",0.652
"Poconé (MT)",0.652
"Iracema (CE)",0.652
"Porto Esperidião (MT)",0.652
"Silveirânia (MG)",0.652
"Jijoca de Jericoacoara (CE)",0.652
"Mauá da Serra (PR)",0.652
"Sério (RS)",0.652
"Santa Rita do Tocantins (TO)",0.651
"Goiana (PE)",0.651
"Arraias (TO)",0.651
"Igaratinga (MG)",0.651
"Padre Bernardo (GO)",0.651
"Virgínia (MG)",0.651
"São Geraldo (MG)",0.651
"Crucilândia (MG)",0.651
"Taquaraçu de Minas (MG)",0.651
"Jati (CE)",0.651
"Taquarussu (MS)",0.651
"Aparecida do Rio Negro (TO)",0.651
"Ivaí (PR)",0.651
"Santana do Deserto (MG)",0.651
"Rochedo (MS)",0.651
"Alto Boa Vista (MT)",0.651
"Serra dos Aimorés (MG)",0.651
"São José das Missões (RS)",0.651
"Nova Tebas (PR)",0.651
"Nova Campina (SP)",0.651
"Porteirinha (MG)",0.651
"Periquito (MG)",0.651
"São Francisco de Goiás (GO)",0.651
"Bacabal (MA)",0.651
"Nova Brasilândia (MT)",0.651
"São João do Manhuaçu (MG)",0.65
"Barros Cassal (RS)",0.65
"Carmésia (MG)",0.65
"Itaporã do Tocantins (TO)",0.65
"Ventania (PR)",0.65
"Pinhal da Serra (RS)",0.65
"Cana Verde (MG)",0.65
"Pacaraima (RR)",0.65
"Monte Alegre dos Campos (RS)",0.65
"Cabixi (RO)",0.65
"Nova Bandeirantes (MT)",0.65
"Guadalupe (PI)",0.65
"Rio Casca (MG)",0.65
"Itanhomi (MG)",0.65
"Faina (GO)",0.65
"Rosário Oeste (MT)",0.65
"Pium (TO)",0.65
"Canguçu (RS)",0.65
"Marmelópolis (MG)",0.65
"Gameleiras (MG)",0.65
"Monjolos (MG)",0.65
"Mampituba (RS)",0.649
"Jacobina (BA)",0.649
"São Luiz (RR)",0.649
"Novo Horizonte do Sul (MS)",0.649
"Canaã (MG)",0.649
"Candeias do Jamari (RO)",0.649
"Barão de Monte Alto (MG)",0.649
"Bayeux (PB)",0.649
"Alagoa (MG)",0.649
"Arapiraca (AL)",0.649
"Barra dos Coqueiros (SE)",0.649
"Lebon Régis (SC)",0.649
"Boa Vista (PB)",0.649
"Unistalda (RS)",0.649
"Jesúpolis (GO)",0.649
"Novo São Joaquim (MT)",0.649
"Timon (MA)",0.649
"Cerrito (RS)",0.649
"São Felipe D'Oeste (RO)",0.649
"Peixoto de Azevedo (MT)",0.649
"Capela Nova (MG)",0.648
"Carlos Chagas (MG)",0.648
"Santa Cruz do Capibaribe (PE)",0.648
"Ubajara (CE)",0.648
"Cardoso Moreira (RJ)",0.648
"Morro da Garça (MG)",0.648
"Frei Inocêncio (MG)",0.648
"Passa-Vinte (MG)",0.648
"Angico (TO)",0.648
"Felixlândia (MG)",0.648
"Dilermando de Aguiar (RS)",0.648
"Cabeceira Grande (MG)",0.648
"Reserva do Iguaçu (PR)",0.648
"Santa Maria de Itabira (MG)",0.648
"Rio Manso (MG)",0.648
"São João do Oriente (MG)",0.648
"Brejo Santo (CE)",0.647
"Ibatiba (ES)",0.647
"Santana dos Montes (MG)",0.647
"Estância (SE)",0.647
"Munhoz (MG)",0.647
"Caracol (MS)",0.647
"Cachoeira (BA)",0.647
"Salinópolis (PA)",0.647
"Santana do Jacaré (MG)",0.647
"Bocaina do Sul (SC)",0.647
"Valença do Piauí (PI)",0.647
"Vila Boa (GO)",0.647
"Goiabeira (MG)",0.647
"Presidente Figueiredo (AM)",0.647
"Carvalhos (MG)",0.646
"Alpercata (MG)",0.646
"Piracema (MG)",0.646
"Santo Amaro (BA)",0.646
"Vale Verde (RS)",0.646
"Fernandes Tourinho (MG)",0.646
"Penaforte (CE)",0.646
"Cacaulândia (RO)",0.646
"Lontra (MG)",0.646
"Lucrécia (RN)",0.646
"São Miguel do Guaporé (RO)",0.646
"Xinguara (PA)",0.646
"Cascavel (CE)",0.646
"São Sebastião do Alto (RJ)",0.646
"Itamarandiba (MG)",0.646
"Tibau do Sul (RN)",0.645
"Águas Formosas (MG)",0.645
"General Maynard (SE)",0.645
"Simolândia (GO)",0.645
"São João do Piauí (PI)",0.645
"Bocaina de Minas (MG)",0.645
"Muniz Freire (ES)",0.645
"Vera Cruz (BA)",0.645
"Manfrinópolis (PR)",0.645
"Paragominas (PA)",0.645
"Foz do Jordão (PR)",0.645
"Vila Bela da Santíssima Trindade (MT)",0.645
"Porto Alegre do Tocantins (TO)",0.645
"Tabuleiro do Norte (CE)",0.645
"Durandé (MG)",0.645
"Jatobá (PE)",0.645
"Antônio Dias (MG)",0.645
"Taparuba (MG)",0.645
"Ouro Branco (RN)",0.645
"Fernandes Pinheiro (PR)",0.645
"São Nicolau (RS)",0.645
"Iaciara (GO)",0.644
"Cristal (RS)",0.644
"Itacoatiara (AM)",0.644
"Forquilha (CE)",0.644
"São Miguel do Anta (MG)",0.644
"Mutum (MG)",0.644
"Crateús (CE)",0.644
"Diamante D'Oeste (PR)",0.644
"Senador Firmino (MG)",0.644
"Crixás do Tocantins (TO)",0.644
"Messias Targino (RN)",0.644
"Engenheiro Caldas (MG)",0.644
"Teixeirópolis (RO)",0.643
"Serranos (MG)",0.643
"Rio Crespo (RO)",0.643
"Calçoene (AP)",0.643
"Hulha Negra (RS)",0.643
"Nova Crixás (GO)",0.643
"Monte Carlo (SC)",0.643
"Jequitaí (MG)",0.643
"Nazaré (TO)",0.643
"Nova Brasilândia D'Oeste (RO)",0.643
"São Valério (TO)",0.643
"Mirante da Serra (RO)",0.643
"Lagoão (RS)",0.643
"Antônio João (MS)",0.643
"Argirita (MG)",0.643
"Carmópolis (SE)",0.643
"Governador Mangabeira (BA)",0.643
"Rio Largo (AL)",0.643
"Palmeiras (BA)",0.643
"Alvorada D'Oeste (RO)",0.643
"São Valério do Sul (RS)",0.642
"Corrente (PI)",0.642
"Almeirim (PA)",0.642
"Amapá (AP)",0.642
"Belém do São Francisco (PE)",0.642
"Florânia (RN)",0.642
"Nova Laranjeiras (PR)",0.642
"Manga (MG)",0.642
"Santa Rita do Pardo (MS)",0.642
"São Vicente (RN)",0.642
"Passabém (MG)",0.642
"Itabaiana (SE)",0.642
"Babaçulândia (TO)",0.642
"Quixeramobim (CE)",0.642
"Laranjeiras (SE)",0.642
"Malta (PB)",0.642
"Almenara (MG)",0.642
"Barrolândia (TO)",0.642
"Marechal Deodoro (AL)",0.642
"Santana do Seridó (RN)",0.642
"Coração de Jesus (MG)",0.642
"Axixá (MA)",0.641
"Nova Porteirinha (MG)",0.641
"João Lisboa (MA)",0.641
"Coxixola (PB)",0.641
"Barra do Turvo (SP)",0.641
"Nazaré (BA)",0.641
"Alta Floresta D'Oeste (RO)",0.641
"Frei Martinho (PB)",0.641
"Goioxim (PR)",0.641
"Campo Belo do Sul (SC)",0.641
"Amparo do Serra (MG)",0.641
"Taquaritinga do Norte (PE)",0.641
"Aquiraz (CE)",0.641
"Primavera de Rondônia (RO)",0.641
"Itacarambi (MG)",0.641
"São Mamede (PB)",0.641
"São Gonçalo do Rio Preto (MG)",0.64
"Carmolândia (TO)",0.64
"Rio Branco do Ivaí (PR)",0.64
"Itaituba (PA)",0.64
"São Domingos (BA)",0.64
"Porto Grande (AP)",0.64
"Pedras Altas (RS)",0.64
"Catolé do Rocha (PB)",0.64
"Macaíba (RN)",0.64
"Timbaúba dos Batistas (RN)",0.64
"Rondolândia (MT)",0.64
"São Romão (MG)",0.64
"Formoso (MG)",0.64
"Itapipoca (CE)",0.64
"Conceição do Araguaia (PA)",0.64
"Santa Maria do Suaçuí (MG)",0.64
"Vitória de Santo Antão (PE)",0.64
"São João do Manteninha (MG)",0.64
"Bocaiúva do Sul (PR)",0.64
"Senador Guiomard (AC)",0.64
"Machacalis (MG)",0.64
"Apodi (RN)",0.639
"Capitão Enéas (MG)",0.639
"Desterro de Entre Rios (MG)",0.639
"Araguacema (TO)",0.639
"Ribeirão Branco (SP)",0.639
"São Félix (BA)",0.639
"Piedade de Ponte Nova (MG)",0.639
"São Félix do Coribe (BA)",0.639
"Água Branca (PI)",0.639
"Nioaque (MS)",0.639
"Dois Irmãos do Buriti (MS)",0.639
"Tefé (AM)",0.639
"Palmital (PR)",0.639
"Luzinópolis (TO)",0.639
"Paudalho (PE)",0.639
"Caroebe (RR)",0.639
"Novo Acordo (TO)",0.639
"Delta (MG)",0.639
"Uruburetama (CE)",0.639
"São Francisco de Itabapoana (RJ)",0.639
"Mariluz (PR)",0.639
"Vicente Dutra (RS)",0.638
